,Additional_Info,Certificate_Number,City,Coordinate_System,Customer,Date,Date_Cleaned,Direction,Down_Grade_to_Invert,Down_Rim_to_Grade,Down_Rim_to_Invert,Downstream_MH,Drainage_Area,Easting,Elevation,Flow_Control,GPS_Accuracy,Height,InspectionID,IsImperial,Length_Surveyed,Lining_Method,Location_Code,Location_Details,Material,Media_Label,Northing,Owner,PO_Number,PacpQuickMaintRating,PacpQuickMaintRatingNum,PacpQuickOverallRating,PacpQuickOverallRatingNum,PacpQuickStructRating,PacpQuickStructRatingNum,Pipe_Joint_Length,Pipe_Segment_Reference,Pre-Cleaning,PressureValue,Project,Purpose,Reverse_Setup,Sewer_Category,Sewer_Use,Shape,Sheet_Number,Street,Surveyed_By,Time,Total_Length,Up_Grade_to_Invert,Up_Rim_to_Grade,Up_Rim_to_Invert,Upstream_MH,Weather,Width,WorkOrder,Year_Laid,Year_Renewed
10,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Downstream,,,10.1999998092651,SANMH400333,,,,Not Controlled,,24.0,11.0,True,135.5,,Light Highway,center of street,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS4003311,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,417 N 9th St.,MDC,15:55:00,135.5,,,11.5,SANMH400331,Dry,24.0,,,
11,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-23,Downstream,,,9.89999961853027,SANMH400334,,,,Not Controlled,,24.0,12.0,True,234.100006103516,,Alley,alley between homes,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS4003330,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,825 E Sycamore St.,MDC,07:55:00,234.100006103516,,,10.1999998092651,SANMH400333,Dry,24.0,,,
12,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-23,Downstream,,,11.0,SANMH400335,,,,Not Controlled,,24.0,13.0,True,72.1999969482422,,Alley,alley between homes,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS4003340,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,803 E Sycamore St.,MDC,08:43:00,72.1999969482422,,,9.89999961853027,SANMH400334,Dry,24.0,,,
13,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-24,Downstream,,,8.5,SANMH400336,,,,Not Controlled,,24.0,14.0,True,254.0,,Alley,alley between homes,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS4003350,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,743 E Sycamore St.,MDC,08:54:00,254.0,,,11.0,SANMH400335,Dry,24.0,,,
14,DSMH # on video incorrect.,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-23,Downstream,,,12.8999996185303,SANMH400327,,,,Not Controlled,,24.0,15.0,True,142.399993896484,,Alley,alley to center of street,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS4003360,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,718 E Sycamore St.,MDC,09:50:00,142.399993896484,,,8.5,SANMH400336,Dry,24.0,,,
15,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-23,Downstream,,,14.8999996185303,SANMH400326,,,,Not Controlled,,24.0,16.0,True,155.800003051758,,Light Highway,center of street,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS4003270,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,718 E Sycamore St.,MDC,10:15:00,155.800003051758,,,12.8999996185303,SANMH400327,Dry,24.0,,,
16,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-24,Upstream,,,9.10000038146973,SANMH400058,,,,Not Controlled,,12.0,17.0,True,224.0,,Parking Lot,paved asphalt to edge of parking lot,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS4006710,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,15 N Heincke Rd.,MDC,11:36:00,224.0,,,7.59999990463257,SANMH400671,Dry,12.0,,,
17,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-24,Downstream,,,18.2000007629395,SANMH400059,,,,Not Controlled,,12.0,18.0,True,118.099998474121,,Easement/Right of Way,easement between parking lot and road,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS4000580,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,15 N Heincke Rd.,MDC,12:20:00,118.099998474121,,,9.10000038146973,SANMH400058,Dry,12.0,,,
18,Manhole #'s on video incorrect.,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-24,Downstream,,,15.3999996185303,SANMH500016,,,,Not Controlled,,18.0,19.0,True,130.5,,Light Highway,center of street,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS5000150,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,503 N 11th St.,MDC,13:10:00,130.5,,,12.3000001907349,SANMH500015,Dry,18.0,,,
19,DSMH # incorrect on video.,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-24,Downstream,,,14.5,SANMH500017,,,,Not Controlled,,18.0,20.0,True,26.2000007629395,,Yard,edge of yard by creek,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS5000160,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,339 N 11Th St.,MDC,13:44:00,26.2000007629395,,,15.3999996185303,SANMH500016,Dry,18.0,,,
20,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-24,Downstream,,,16.7999992370605,SANMH500182,,,,Not Controlled,,18.0,21.0,True,98.6999969482422,,Easement/Right of Way,egde of road under creek,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS5000170,Jetting,,1696_ Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,339 N 11th St.,MDC,14:09:00,98.6999969482422,,,14.5,SANMH500017,Dry,18.0,,,
21,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-24,Downstream,,,0.0,SANMH400460,,,,Not Controlled,,24.0,22.0,True,243.100006103516,,Easement/Right of Way,egde of road under homes,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS5001820,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,329 N 11th St.,MDC,14:50:00,243.100006103516,,,16.7999992370605,SANMH500182,Dry,24.0,,,
22,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-24,2016-03-24,Downstream,,,0.0,SANMH400459,,,,Not Controlled,,24.0,23.0,True,240.199996948242,,Parking Lot,egde of parking lot,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,8.0,SANGS4004600,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,329 N 11th St.,MDC,15:27:00,240.199996948242,,,0.0,SANMH400460,Dry,24.0,,,
23,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,7.69999980926514,SANMH500408,,,,Not Controlled,,8.0,24.0,True,138.0,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004070,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2106 Robinhood Dr.,JAK,15:07:00,138.0,,,5.69999980926514,SANMH500407,Dry,8.0,,,
24,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,7.40000009536743,SANMH500409,,,,Not Controlled,,8.0,25.0,True,237.300003051758,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004080,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2110 Robinhood Dr.,JAK,15:21:00,237.300003051758,,,7.69999980926514,SANMH500408,Dry,8.0,,,
25,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,7.0,SANMH500410,,,,Not Controlled,,8.0,26.0,True,234.699996948242,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004090,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2122 Robinhood Dr.,JAK,15:49:00,234.699996948242,,,7.40000009536743,SANMH500409,Dry,8.0,,,
26,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,7.80000019073486,SANMH500398,,,,Not Controlled,,8.0,27.0,True,239.5,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004100,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2130 Robinhood Dr.,JAK,16:14:00,239.5,,,7.0,SANMH500410,Dry,8.0,,,
27,Pipe size incorrect on video header.,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,7.90000009536743,SANMH500397,,,,Not Controlled,,10.0,28.0,True,93.9000015258789,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5003980,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2219 Robinhood Dr.,JAK,16:37:00,93.9000015258789,,,7.80000019073486,SANMH500398,Dry,10.0,,,
28,Pipe size incorrect on video header.,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,10.3000001907349,SANMH500396,,,,Not Controlled,,10.0,29.0,True,110.599998474121,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5003970,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2219 Robinhood Dr.,JAK,17:22:00,110.599998474121,,,7.90000009536743,SANMH500397,Dry,10.0,,,
29,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,7.90000009536743,SANMH500395,,,,Not Controlled,,10.0,30.0,True,266.799987792969,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5003960,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2227 Robinhood Dr.,JAK,17:33:00,266.799987792969,,,10.3000001907349,SANMH500396,Dry,10.0,,,
30,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Downstream,,,7.19999980926514,SANMH500411,,,,Not Controlled,,8.0,31.0,True,300.700012207031,,Light Highway,center of road,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004050,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2003 Sherwood Forest Dr.,JAK,11:02:00,300.700012207031,,,7.69999980926514,SANMH500405,Dry,8.0,,,
31,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Downstream,,,7.19999980926514,SANMH500412,,,,Not Controlled,,8.0,32.0,True,149.5,,Light Highway,center of road,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004110,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,1918 Sherwood Forest Dr.,JAK,11:48:00,149.5,,,7.19999980926514,SANMH500411,Dry,8.0,,,
32,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Upstream,,,7.19999980926514,SANMH500412,,,,Not Controlled,,8.0,33.0,True,67.9000015258789,,Light Highway,center of road,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004360,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,1901 Sherwood Forest Dr.,JAK,12:48:00,67.9000015258789,,,6.30000019073486,SANMH500436,Dry,8.0,,,
33,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Downstream,,,6.90000009536743,SANMH500413,,,,Not Controlled,,8.0,34.0,True,131.100006103516,,Light Highway,center of road,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004120,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,1901 Sherwood Forest Dr.,JAK,13:08:00,131.100006103516,,,7.19999980926514,SANMH500412,Dry,8.0,,,
34,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Downstream,,,6.80000019073486,SANMH500414,,,,Not Controlled,,8.0,35.0,True,69.8000030517578,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004130,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2104 Sir Lockesley Dr.,JAK,13:44:00,69.8000030517578,,,6.90000009536743,SANMH500413,Dry,8.0,,,
35,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Downstream,,,6.40000009536743,SANMH500415,,,,Not Controlled,,8.0,36.0,True,271.100006103516,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004140,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2106 Sir Lockesley Dr.,JAK,14:05:00,271.100006103516,,,6.80000019073486,SANMH500414,Dry,8.0,,,
36,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Downstream,,,6.0,SANMH500416,,,,Not Controlled,,8.0,37.0,True,301.600006103516,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004150,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2112 Sir Lockesley Dr.,JAK,14:59:00,301.600006103516,,,6.40000009536743,SANMH500415,Dry,8.0,,,
37,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Downstream,,,0.0,SANMH500417,,,,Not Controlled,,8.0,38.0,True,301.899993896484,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004160,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2120 Sir Lockesley Dr.,JAK,15:56:00,301.899993896484,,,6.0,SANMH500416,Dry,8.0,,,
38,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,9.19999980926514,SANMH500393,,,,Not Controlled,,10.0,39.0,True,202.399993896484,,Light Highway,center of street,Polyvinyl Chloride,,,City of Miamisburg,1696.0,,,,,,,13.0,SANGS5003950,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2239 Robinhood Dr.,JAK,17:53:00,202.399993896484,,,7.90000009536743,SANMH500395,Dry,10.0,,,
39,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,7.40000009536743,SANMH500485,,,,Not Controlled,,8.0,40.0,True,159.899993896484,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004840,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2101 Sherwood Forest Dr.,JAK,18:30:00,159.899993896484,,,7.90000009536743,SANMH500484,Dry,8.0,,,
40,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,6.40000009536743,SANMH500486,,,,Not Controlled,,8.0,41.0,True,178.600006103516,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004850,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2111 Sherwood Forest Dr.,JAK,18:44:00,178.600006103516,,,7.40000009536743,SANMH500485,Dry,8.0,,,
41,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,7.59999990463257,SANMH500487,,,,Not Controlled,,8.0,42.0,True,197.199996948242,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004860,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2121 Sherwood Forest Dr.,JAK,19:02:00,197.199996948242,,,6.40000009536743,SANMH500486,Dry,8.0,,,
42,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-05,2016-04-05,Downstream,,,8.19999980926514,SANMH500488,,,,Not Controlled,,8.0,43.0,True,201.699996948242,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004870,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2121 Sherwood Forest Dr.,JAK,19:18:00,201.699996948242,,,7.59999990463257,SANMH500487,Dry,8.0,,,
43,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-05,Downstream,,,8.69999980926514,SANMH500489,,,,Not Controlled,,8.0,44.0,True,298.5,,Light Highway,center of road,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004880,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2133 Sherwood Forest Dr,JAK,07:31:00,298.5,,,8.19999980926514,SANMH500488,Dry,8.0,,,
44,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-05,Downstream,,,9.19999980926514,SANMH500393,,,,Not Controlled,,8.0,45.0,True,147.899993896484,,Light Highway,center of road,Polyvinyl Chloride,,,City of Miamisburg,1696.0,,,,,,,13.0,SANGS5003940,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,721 Robinhood Dr.,JAK,09:23:00,147.899993896484,,,7.5,SANMH500394,Dry,8.0,,,
45,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Upstream,,,7.69999980926514,SANMH500405,,,,Not Controlled,,8.0,46.0,True,298.5,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004060,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2040 Sherwood Forest Dr.,JAK,10:23:00,298.5,,,7.30000019073486,SANMH500406,Dry,8.0,,,
46,,U-713-18785,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-06,Downstream,,,7.30000019073486,SANMH500418,,,,Not Controlled,,8.0,47.0,True,175.800003051758,,Light Highway,center of street,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS5004170,Jetting,,1696_Miamisburg_OH,Infiltration/Inflow Investigation,0.0,,Sanitary,Circular,1.0,2125 Sir Lockesley Dr.,JAK,16:40:00,175.800003051758,,,6.40000009536743,SANMH500417,Dry,8.0,,,
47,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-05,Downstream,,,17.7999992370605,SANMH200548,,,,Not Controlled,,36.0,48.0,True,284.299987792969,,Light Highway,edge of road to center of street,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,10.0,SANGS2005450,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,102 Mound Ave.,MDC,09:22:00,284.299987792969,,,17.2000007629395,SANMH200545,Dry,36.0,,,
48,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-04-06,2016-04-05,Downstream,,,15.1000003814697,SANMH200553,,,,Not Controlled,,36.0,49.0,True,233.800003051758,,Easement/Right of Way,easement along walking track,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,10.0,SANGS2005520,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,503 S Main St.,MDC,10:48:00,233.800003051758,,,19.0,SANMH200552,Dry,36.0,,,
